date,title,summary,topic,media,link
2022-08-23,"Ratings del sábado, 20 de agosto de 2022: Serie Final del BSN","De 6:00 p.m. a 8:15 p.m., el juego promedió 12.8 por Telemundo.",Glenn Santana,Primera Hora,http://www.primerahora.com/opinion/glenn-santana/columnas/ratings-del-sabado-20-de-agosto-de-2022-serie-final-del-bsn/
2022-08-23,Yadier Molina: “tenía que estar ahí por mi equipo y por la ciudad (Bayamón)”,El receptor boricua se dirigió en Chicago a los medios de los Cardinals por su más reciente ausencia en el terreno de juego. ,Béisbol,Primera Hora,http://www.primerahora.com/deportes/beisbol/notas/yadier-molina-tenia-que-estar-ahi-por-mi-equipo-y-por-la-ciudad-bayamon/
2022-08-23,Artistas comparten llamado a piquete contra LUMA frente a Fortaleza,Residente y Kany García compartieron una publicación que invita a asistir a un piquete este jueves.,Gobierno y política,Primera Hora,http://www.primerahora.com/noticias/gobierno-politica/notas/artistas-comparten-llamado-a-piquete-contra-luma-frente-a-fortaleza/
2022-08-23,Radican medida para que la población con diversidad funcional reciba servicios médicos dignos,"María de Lourdes Santiago, autora de la medida, dijo que el sistema de salud no contempla consideraciones suficientes para las personas con necesidades especiales",Gobierno y política,Primera Hora,http://www.primerahora.com/noticias/gobierno-politica/notas/radican-medida-para-que-la-poblacion-con-diversidad-funcional-reciba-servicios-medicos-dignos/
2022-08-22,Irad Ortiz gana con un potro propiedad del pelotero Alex Bregman,El destacado jinete estuvo montando este lunes en el hipódromo Parx.,Hipismo,Primera Hora,http://www.primerahora.com/deportes/hipismo/notas/irad-ortiz-gana-con-un-potro-propiedad-del-pelotero-alex-bregman/
2022-08-22,José Miranda jugará con Puerto Rico en el Clásico Mundial de Béisbol,El jugador de cuadro confirmó que recibió un invitación del gerente general Eduardo Pérez.,Béisbol,Primera Hora,http://www.primerahora.com/deportes/beisbol/notas/jose-miranda-jugara-con-puerto-rico-en-el-clasico-mundial-de-beisbol/
2022-08-22,¿Porqué el hermano de Ben Affleck no fue a la boda del actor y Jennifer López?,Casey Affleck fue captado por paparazzis en Los Ángeles y le preguntaron sobre el particular. ,Farándula,Primera Hora,http://www.primerahora.com/entretenimiento/farandula/notas/porque-el-hermano-de-ben-affleck-no-fue-a-la-boda-del-actor-y-jennifer-lopez/
2022-08-22,Netflix estrenará la segunda parte de “Knives Out” ,El 23 de diciembre.,Cine y TV,Primera Hora,http://www.primerahora.com/entretenimiento/cine-tv/notas/netflix-estrenara-la-segunda-parte-de-knives-out/
2022-08-22,El sexto juego de la final del BSN fue el programa de TV más visto el sábado en su horario,El BSN reporta que duplicó los números de ratings de sus pasadas series finales.,Baloncesto,Primera Hora,http://www.primerahora.com/deportes/baloncesto/notas/el-sexto-juego-de-la-final-del-bsn-fue-el-programa-de-tv-mas-visto-el-sabado-en-su-horario/
2022-08-22,Menor es agredido con un tubo por un familiar en San Sebastián ,Resultó con una fractura en un brazo. ,Policía y Tribunales,Primera Hora,http://www.primerahora.com/noticias/policia-tribunales/notas/menor-es-agredido-con-un-tubo-por-un-familiar-en-san-sebastian/
2022-08-22,El accidente en la boda de Jennifer López y Ben Affleck,La celebración no comenzó de la mejor manera.,Farándula,Primera Hora,http://www.primerahora.com/entretenimiento/farandula/notas/el-accidente-en-la-boda-de-jennifer-lopez-y-ben-affleck/
2022-08-22,Hieren de bala a un adolescente en Puerto Nuevo ,Se desconoce su condición. ,Policía y Tribunales,Primera Hora,http://www.primerahora.com/noticias/policia-tribunales/notas/hieren-de-bala-a-un-adolescente-en-puerto-nuevo/
2022-08-22,¿Recuerdas a las cantantes de t.A.T.u? Mira cómo lucen ahora,Revolucionaron la música a principios de los 2000.,Música,Primera Hora,http://www.primerahora.com/entretenimiento/musica/notas/recuerdas-a-las-cantantes-de-tatu-mira-como-lucen-ahora/
2022-08-22,Inicia tributo a Juan Gabriel a seis años de su muerte,Las actividades comenzaron ayer en la ciudad donde el cantante desarrolló su carrera artística.,Farándula,Primera Hora,http://www.primerahora.com/entretenimiento/farandula/notas/inicia-tributo-a-juan-gabriel-a-seis-anos-de-su-muerte/
2022-08-22,Encarcelan hombre que confesó el crimen de su vecino en Puerto Nuevo,"Discutieron porque dejó basura en el baño, según el Negociado de la Policía. ",Policía y Tribunales,Primera Hora,http://www.primerahora.com/noticias/policia-tribunales/notas/encarcelan-hombre-que-confeso-el-crimen-de-su-vecino-en-puerto-nuevo/
2022-08-22,Buscan a joven reportado desaparecido en Vega Baja,Fue visto por última vez el sábado cuando salió de su casa.,Policía y Tribunales,Primera Hora,http://www.primerahora.com/noticias/policia-tribunales/notas/buscan-a-joven-reportado-desaparecido-en-vega-baja/
2022-08-22,Mucho calor y posibles inundaciones para hoy,Los índices de calor podrían alcanzar los mediados 100 grados.,Puerto Rico,Primera Hora,http://www.primerahora.com/noticias/puerto-rico/notas/mucho-calor-y-posibles-inundaciones-para-hoy/
2022-08-22,Piqué es captado muy acaramelado junto a su nuevo amor,El futbolista fue a un concierto acompañado de una joven de 23 años. ,Otros deportes,Primera Hora,http://www.primerahora.com/deportes/otros/notas/pique-es-captado-muy-acaramelado-junto-a-su-nuevo-amor/
2022-08-22,Centro Nacional de Huracanes sigue vigilando onda tropical con potencial ciclónico en el Atlántico,Históricamente la temporada de huracanes en el Atlántico se torna activa en los meses de agosto y septiembre.,Puerto Rico,Primera Hora,http://www.primerahora.com/noticias/puerto-rico/notas/centro-nacional-de-huracanes-sigue-vigilando-onda-tropical-con-potencial-ciclonico-en-el-atlantico/
2022-08-22,Tasa de positividad de COVID-19 se ubica en 27.68 por ciento,"Mientras, unos 360 pacientes se encuentran hospitalizados. ",Puerto Rico,Primera Hora,http://www.primerahora.com/noticias/puerto-rico/notas/tasa-de-positividad-de-covid-19-se-ubica-en-2768-por-ciento/
2022-08-22,Bad Bunny comparte meme que critica la situación del país mientras Pierluisi disfruta en convención del PNP,No es la primera vez que el intérprete de “Tití me preguntó” reacciona a los problemas de Puerto Rico.,Farándula,Primera Hora,http://www.primerahora.com/entretenimiento/farandula/notas/bad-bunny-comparte-meme-que-critica-la-situacion-del-pais-mientras-pierluisi-disfruta-en-convencion-del-pnp/
2022-08-22,Hospital Auxilio Mutuo confronta problemas con el servicio de energía eléctrica,Áreas del hospital se quedaron a oscuras por espacio de dos horas.,Gobierno y política,Primera Hora,http://www.primerahora.com/noticias/gobierno-politica/notas/hospital-auxilio-mutuo-confronta-problemas-con-el-servicio-de-energia-electrica/
2022-08-22,Las 5 noticias del fin de semana,Te presentamos un resumen de las que dieron de qué hablar. ,Puerto Rico,Primera Hora,http://www.primerahora.com/noticias/puerto-rico/notas/las-5-noticias-del-fin-de-semana-173/
2022-08-22,Marcha bien la integración de Mya Hollingshed,La jugadora naturalizada por el Equipo Nacional de Baloncesto femenino ha sido mencionada como un acierto por el dirigente del equipo.,Baloncesto,Primera Hora,http://www.primerahora.com/deportes/baloncesto/notas/marcha-bien-la-integracion-de-mya-hollingshed/
2022-08-22,Autocine Santana: diversión bajo las estrellas,Por los pasados 32 años este espacio se ha convertido en un icono de Arecibo.,Otras,Primera Hora,http://www.primerahora.com/entretenimiento/otras/notas/autocine-santana-diversion-bajo-las-estrellas/
2022-08-22,Más de cinco décadas dedicadas a pescar cetí,Edgardo González Martínez comparte sus estrategias para atrapar al escurridizo y diminuto pez.,Puerto Rico,Primera Hora,http://www.primerahora.com/noticias/puerto-rico/notas/mas-de-cinco-decadas-dedicadas-a-pescar-ceti/
2022-08-22,Confiados en su éxito los presentadores de “La bóveda de TeleOnce”,"Andrea Rivera, Andrés Waldemar Volmar, Awilda Herrera y Luis Tomás Fontánez “Finito” animarán el nuevo espacio, que estrena hoy. ",Cine y TV,Primera Hora,http://www.primerahora.com/entretenimiento/cine-tv/notas/confiados-en-su-exito-los-presentadores-de-la-boveda-de-teleonce/
2022-08-22,Desde la silla  ,"“Cierto que no somos responsables de nuestro entorno, sí tenemos gran participación sobre las experiencias que vivimos ya que somos quienes tomamos las decisiones en nuestra vida”. ",Táyna Rivera Llavona,Primera Hora,http://www.primerahora.com/opinion/tayna-rivera-llavona/columnas/desde-la-silla/
2022-08-22,Gredmarie Colón: lo tuyo viene,"Una de esas ofertas vendrá de TeleOnce donde antes participó en Nuestra Belleza Latina, certamen que la catapultó.  ",Milly Cangiano,Primera Hora,http://www.primerahora.com/opinion/milly-cangiano/columnas/gredmarie-colon-lo-tuyo-viene/
