date,title,summary,topic,media,link
2022-08-12,Entidades demandadas por mal uso de fondos piden prórroga para contestar a Autoridad de Tierras,"El director ejecutivo de la Autoridad de Tierras (AT), Jorge Campos Merced, informó que las dos organizaciones sin fines de lucro a las que la agencia demandó...",Tribunales,Noticel,https://www.noticel.com/tribunales/top-stories/agricultura/20220812/entidades-demandadas-por-mal-uso-de-fondos-piden-prorroga-para-contestar-a-autoridad-de-tierras/
2022-08-12,El dinero y obras de arte de Bancrédito son otra trinchera contra Herrera Velutini,El gobierno federal puede intervenir todavía en el proceso de liquidación de Bancrédito International Bank & Trust Corp. para minimizar las posibilidades de qu...,Tribunales,Noticel,https://www.noticel.com/tribunales/ahora/top-stories/20220812/el-dinero-y-obras-de-arte-de-bancredito-son-otra-trinchera-contra-herrera-velutini/
2022-08-11,La ONU presiona a Rusia y Ucrania para evitar un desastre nuclear en Zaporiyia,"La ONU presionó este jueves a Rusia y Ucrania para que eviten a toda costa un desastre nuclear en la central ucraniana de Zaporiyia, ocupada por fuerzas rusas...",Mundo,Noticel,https://www.noticel.com/mundo/top-stories/20220811/la-onu-presiona-a-rusia-y-ucrania-para-evitar-un-desastre-nuclear-en-zaporiyia/
2022-08-11,Siete años de prisión a un expolicía por el asalto al Congreso,WASHINGTON - Un expolicía del estado de Virginia fue condenado este jueves a más de siete años de prisión por su participación en el asalto al Capitolio de Est...,Mundo,Noticel,https://www.noticel.com/mundo/20220811/siete-anos-de-prision-a-un-expolicia-por-el-asalto-al-congreso/
2022-08-11,Muere a manos de la Policía hombre que intentó entrar en sede del FBI,"WASHINGTON - El hombre que intentó entrar en la sede local del FBI en la ciudad de Cincinnati murió este jueves a manos de la Policía.
El sospechoso, que no ha...",Estados Unidos,Noticel,https://www.noticel.com/mundo/20220811/muere-a-manos-de-la-policia-hombre-que-intento-entrar-en-sede-del-fbi/
2022-08-11,Johnson & Johnson suspende la venta de sus polvos de talco en todo el mundo,"La farmacéutica Johnson & Johnson anunció este jueves que en 2023 suspenderá la venta de sus polvos de talco para bebé en todo el mundo, dos años después de ha...",Mundo,Noticel,https://www.noticel.com/mundo/20220811/johnson-johnson-suspende-la-venta-de-sus-polvos-de-talco-en-todo-el-mundo/
2022-08-11,Xander Zayas: “Me siento preparado” ,"Tras una cancelación de una pelea en junio por un problema de salud, el cotizado prospecto boricua Xander Zayas dijo estar listo para mantener su invicto este ...",Deportes,Noticel,https://www.noticel.com/deportes/20220811/xander-zayas-me-siento-preparado/
2022-08-11,Encarcelan hombre de 53 años por supuestos actos lascivos contra un menor,"Las autoridades informaron este jueves que encarcelaron a un hombre que no pudo prestar una fianza de 30,000 dólares, al ser imputado de delitos de incesto y ...",Policíacas,Noticel,https://www.noticel.com/policiacas/la-calle/20220811/encarcelan-hombre-de-53-anos-por-supuestos-actos-lascivos-contra-un-menor/
2022-08-11,FIFA adelanta al 20 de noviembre el inicio del Mundial,"El 'Bureau' del Consejo de La FIFA decidió este jueves ""por unanimidad"" el adelanto al 20 de noviembre de la ceremonia inaugural del Mundial de Qatar 2022 y d...",Deportes,Noticel,https://www.noticel.com/deportes/20220811/fifa-adelanta-al-20-de-noviembre-el-inicio-del-mundial/
2022-08-11,Miss Universe permitirá competir a madres y embarazadas tras una demanda,LOS ÁNGELES - El concurso de belleza Miss Universo permitirá que las mujeres que estén embarazadas o que hayan sido madres puedan competir en futuras ediciones...,Pop!,Noticel,https://www.noticel.com/pop/20220811/miss-universe-permitira-competir-a-madres-y-embarazadas-tras-una-demanda/
