date,title,summary,topic,media,link
2022-08-13,El caso contra Wanda Vázquez: el peor de los crímenes,"La acusación contra Wanda Vázquez dice que puso al sistema bancario al servicio del lavado internacional de dinero. De probársele, puede ser el peor crimen cometido por un político en Puerto Rico, escribe Benjamín Torres Gotay",Para suscriptores,El Nuevo Dia,https://www.elnuevodia.com/opinion/las-cosas-por-su-nombre/el-caso-contra-wanda-vazquez-el-peor-de-los-crimenes/
2022-08-13,“Nos sorprendió a todos”: suspensión de Fernando Tatis Jr. impacta a los Padres y a las Grandes Ligas,La joven estrella dominicana pidió perdón a la organización de San Diego luego de ser sancionado por 80 partidos tras dar positivo a una droga para mejorar el rendimiento,Béisbol,El Nuevo Dia,https://www.elnuevodia.com/deportes/beisbol/notas/nos-sorprendio-a-todos-suspension-de-fernando-tatis-jr-impacta-a-los-padres-y-a-las-grandes-ligas/
2022-08-13,¿Qué factores dan origen a la fatiga y cómo afecta tu organismo?,"La fatiga muscular es la incapacidad o falta de fuerzas para continuar realizando una determinada actividad. Sucede cuando los músculos no tienen la fuerza suficiente para continuar, escribe José Cruz López",Para suscriptores,El Nuevo Dia,https://www.elnuevodia.com/opinion/desde-mi-perspectiva/que-factores-dan-origen-a-la-fatiga-y-como-afecta-tu-organismo/
2022-08-13,La creación de espacios abiertos y multifuncionales continúa ganando terreno en la arquitectura ,"Las tendencias para este 2022 enfatizan en la sensibilidad ecológica, el uso inteligente de los recursos a través de la tecnología y el retorno a lo esencial",Construcción,El Nuevo Dia,https://www.elnuevodia.com/negocios/construccion/notas/la-creacion-de-espacios-abiertos-y-multifuncionales-continua-ganando-terreno-en-la-arquitectura/
2022-08-13,Detonan proyectil de artillería que provocó el cierre de un tramo de la playa Flamenco en Culebra,"El artefacto, que fue hallado cerca del área del tanque militar, fue destruido mediante una demolición controlada con explosivos C4",Seguridad,El Nuevo Dia,https://www.elnuevodia.com/noticias/seguridad/notas/detonan-proyectil-de-artilleria-que-provoco-el-cierre-de-un-tramo-de-la-playa-flamenco-en-culebra/
2022-08-13,Hombre acusado de apuñalar al escritor Salman Rushdie somete alegato de inocencia,"El abogado de Hadi Matar, de 24 años, hizo la declaración en la corte en nombre de su cliente durante una breve audiencia de presentación formal de los cargos",Estados Unidos,El Nuevo Dia,https://www.elnuevodia.com/noticias/estados-unidos/notas/hombre-acusado-de-apunalar-al-escritor-salman-rushdie-somete-alegato-de-inocencia/
2022-08-14,Muere un conductor de 18 años tras impactar una valla de metal en Guánica,La Policía ocupó en la escena un arma de fuego y droga,Seguridad,El Nuevo Dia,https://www.elnuevodia.com/noticias/seguridad/notas/muere-un-conductor-de-18-anos-tras-impactar-una-valla-de-metal-en-guanica/
2022-08-14,Pedro Pierluisi designa a Anaís Rodríguez Vega como secretaria en propiedad del DRNA,"Por meses, la funcionaria había ocupado el cargo de manera interina tras la salida de Rafael Machargo",Gobierno,El Nuevo Dia,https://www.elnuevodia.com/noticias/gobierno/notas/pedro-pierluisi-designa-a-anais-rodriguez-vega-como-secretaria-en-propiedad-del-drna/
2022-08-14,Miguel Romero entiende que no debe demorar el fallo judicial sobre el parque de Condado,La demanda del municipio se mantiene en pie independiente a la de un grupo de ciudadanos,Gobierno,El Nuevo Dia,https://www.elnuevodia.com/noticias/gobierno/notas/miguel-romero-entiende-que-no-debe-demorar-el-fallo-judicial-sobre-el-parque-de-condado/
2022-08-14,Salman Rushdie está “en camino a la recuperación” tras ser apuñalado en Nueva York,El reconocido escritor de 75 años pudo hablar y bromear luego que médicos le retiraron un respirador artificial el sábado,Estados Unidos,El Nuevo Dia,https://www.elnuevodia.com/noticias/estados-unidos/notas/salman-rushdie-esta-en-camino-a-la-recuperacion-tras-ser-apunalado-en-nueva-york/
2022-08-14,"En Puerto Rico la medicina no es glamur, sino deuda y sacrificio","No podemos exigir lealtad unilateral de nuestra clase médica, escribe Juan S. Vidal Santiago",Punto de vista,El Nuevo Dia,https://www.elnuevodia.com/opinion/punto-de-vista/en-puerto-rico-la-medicina-no-es-glamur-sino-deuda-y-sacrificio/
2022-08-14,Nelson Colón y su hijo Michael: inseparables durante la postemporada del BSN,"El dirigente de los Vaqueros de Bayamón ha estado acompañado de su primogénito, quien vive en Nueva York pero pasó el verano en la isla con su padre en las canchas ",Baloncesto,El Nuevo Dia,https://www.elnuevodia.com/deportes/baloncesto/notas/nelson-colon-y-su-hijo-michael-inseparables-durante-la-postemporada-del-bsn/
2022-08-14,Comedia “La peor cantante del mundo” abre su cuarta función,"El público tendrá la oportunidad de disfrutar de la nueva función el domingo, 28 de agosto, en el Centro de Bellas Artes de Santurce",Cultura,El Nuevo Dia,https://www.elnuevodia.com/entretenimiento/cultura/notas/comedia-la-peor-cantante-del-mundo-abre-su-cuarta-funcion/
2022-08-14,Representantes del PNP proponen medidas severas para combatir la corrupción,"Presentarán un paquete de proyectos mañana, lunes, cuando arranca la sesión legislativa ordinaria",Gobierno,El Nuevo Dia,https://www.elnuevodia.com/noticias/gobierno/notas/representantes-del-pnp-proponen-medidas-severas-para-combatir-la-corrupcion/
2022-08-14,"Miguel Romero entrega equipo a la Policía Municipal de San Juan que se adquirió con $191,000","El alcalde de la capital anunció, además, que se remodeló el cuartel de la Unidad Canina",Seguridad,El Nuevo Dia,https://www.elnuevodia.com/noticias/seguridad/notas/miguel-romero-entrega-equipo-a-la-policia-municipal-de-san-juan-que-se-adquirio-con-191000/
2022-08-14,Salud reporta dos muertes adicionales y 358 hospitalizados con COVID-19,"Mientras, la tasa de positividad se ubicó en 31.38% en la actualización de mediodía",Locales,El Nuevo Dia,https://www.elnuevodia.com/noticias/locales/notas/salud-reporta-dos-muertes-adicionales-y-358-hospitalizados-con-covid-19/
2022-08-14,Así transcurrió la segunda jornada del Coca-Cola Music Fest,El evento sirvió de plataforma para figuras de la música urbana tanto en ascenso como ya establecidas,Música,El Nuevo Dia,https://www.elnuevodia.com/entretenimiento/musica/notas/asi-transcurrio-la-segunda-jornada-del-coca-cola-music-fest/
2022-08-14,“Bullet Train” lidera las taquillas por segunda semana consecutiva,"Después de recaudar unos $ 30 millones en su primer fin de semana, “Bullet Train” sumó $13.4 millones en su segunda semana",Películas y series,El Nuevo Dia,https://www.elnuevodia.com/entretenimiento/peliculas-series/notas/bullet-train-lidera-las-taquillas-por-segunda-semana-consecutiva/
2022-08-14,Sobre 200 personas se vacunan contra la viruela del mono en evento de Salud junto a organizaciones LGBTTIQ+,"Al momento, hay 50 casos confirmados en Puerto Rico",Locales,El Nuevo Dia,https://www.elnuevodia.com/noticias/locales/notas/sobre-200-personas-se-vacunan-contra-la-viruela-del-mono-en-evento-de-salud-junto-a-organizaciones-lgbttiq/
2022-08-14,Identifican al joven de 26 años asesinado frente a una gasolinera en Comerío,"En la escena se ocupó un arma de fuego, un cargador con 30 balas, $1,115 en efectivo, 25 bolsitas de cocaína y 29 de heroína",Seguridad,El Nuevo Dia,https://www.elnuevodia.com/noticias/seguridad/notas/identifican-al-joven-de-26-anos-asesinado-frente-a-una-gasolinera-en-comerio/
2022-08-14,Bailaora Siudy Garrido llevará su espectáculo “Flamenco íntimo” al Coca-Cola Music Hall,"La puesta en escena del espectáculo de esta artista venezolana, será el 4 de noviembre a las 8:30 p.m. en el Coca-Cola Music Hall",Música,El Nuevo Dia,https://www.elnuevodia.com/entretenimiento/musica/notas/bailaora-siudy-garrido-llevara-su-espectaculo-flamenco-intimo-al-coca-cola-music-hall/
2022-08-14,La Luna y Júpiter lucirán juntos esta noche,A partir de las 9:30 p.m. se observará el evento astronómico,Espacio y astronomía,El Nuevo Dia,https://www.elnuevodia.com/ciencia-ambiente/espacio-astronomia/notas/la-luna-y-jupiter-luciran-juntos-esta-noche/
2022-08-14,Acueductos amplía a 24 horas el periodo de interrupción de servicio en Isabela,La corporación pública informó que el plan se mantendrá en efecto hasta nuevo aviso debido a que todavía arreglan una enorme rotura,Locales,El Nuevo Dia,https://www.elnuevodia.com/noticias/locales/notas/acueductos-amplia-a-24-horas-el-periodo-de-interrupcion-de-servicio-en-isabela/
2022-08-14,Impugnan elección para la presidencia del PNP en Guayama ,"Alegan que hubo fraude en endosos que recibió Glorimari Jaime, quien prevaleció en la contienda",Política,El Nuevo Dia,https://www.elnuevodia.com/noticias/politica/notas/impugnan-eleccion-para-la-presidencia-del-pnp-en-guayama/
2022-08-14,Convocan marcha en Washington D. C. a favor de la estadidad para Puerto Rico,El movimiento es impulsado por la senadora Keren Riquelme y el expresidente cameral José Aponte Hernández,Locales,El Nuevo Dia,https://www.elnuevodia.com/noticias/locales/notas/convocan-marcha-en-washington-d-c-a-favor-de-la-estadidad-para-puerto-rico/
